ID,FINISHED,TRACK TIME,BARRIER HITS,ROTATION ANGLE,SPEED,DOWN RAY
16,1,52,401,16,10000,0.239946
126,1,64,434,20,10000,0.27
467,0,180,560,1,10000,0.77
468,0,179,560,2,10000,0.2
469,0,179,557,3,10000,0.2
470,0,179,369,4,10000,0.38
471,0,179,534,5,10000,0.73
472,0,179,532,6,10000,0.22
473,0,179,119,7,10000,0.2
474,0,179,501,8,10000,0.8
475,0,179,482,9,10000,0.2
476,0,179,258,10,10000,0.47
477,0,179,471,11,10000,0.67
478,0,179,467,12,10000,0.61
479,0,179,441,13,10000,0.85
480,0,179,469,14,10000,0.79
481,0,179,474,15,10000,0.79
482,0,179,478,16,10000,0.65
483,0,179,413,17,10000,0.29
484,0,179,460,18,10000,0.6
485,0,179,467,19,10000,0.56
486,0,179,489,20,10000,0.22
487,0,179,470,21,10000,0.33
488,0,179,427,22,10000,0.28
489,0,179,435,23,10000,0.55
490,0,179,442,24,10000,0.56
491,0,179,535,25,10000,0.01
492,0,179,534,26,10000,0.02
493,0,179,399,27,10000,0.51
494,0,179,443,28,10000,0.59
495,0,179,437,29,10000,0.69
496,0,179,367,30,10000,0.839999
497,0,179,345,31,10000,0.25
498,0,179,529,32,10000,0.0
499,0,179,376,33,10000,0.37
500,0,179,320,34,10000,0.39
501,0,179,352,35,10000,0.29
502,0,179,306,36,10000,0.27
503,0,179,339,37,10000,0.22
504,0,179,335,38,10000,0.39
505,0,179,326,39,10000,0.47
506,0,179,328,40,10000,0.34
507,0,179,329,41,10000,0.35
508,0,179,314,42,10000,0.3
509,0,179,308,43,10000,0.29
510,0,179,309,44,10000,0.39
511,0,179,333,45,10000,0.43
512,0,179,371,46,10000,0.31
513,0,179,288,47,10000,0.27
514,0,179,529,48,10000,0.01
515,0,179,303,49,10000,0.25
516,0,179,296,50,10000,0.22
517,0,179,283,51,10000,0.31
518,0,179,538,52,10000,0.0
519,0,179,285,53,10000,0.27
520,0,179,273,54,10000,0.32
521,0,179,276,55,10000,0.37
522,0,179,297,56,10000,0.28
523,0,179,280,57,10000,0.3
524,0,179,286,58,10000,0.44
525,0,179,249,59,10000,0.32
526,0,179,229,60,10000,0.2
527,0,179,251,61,10000,0.27
528,0,179,236,62,10000,0.3
529,0,179,525,63,10000,0.01
530,0,179,246,64,10000,0.28
531,0,179,239,65,10000,0.31
532,0,179,244,66,10000,0.26
533,0,179,517,67,10000,0.04
534,0,179,237,68,10000,0.29
535,0,179,240,69,10000,0.27
536,0,179,240,70,10000,0.25
537,0,179,527,71,10000,-0.01
538,0,179,243,72,10000,0.23
539,0,179,223,73,10000,0.24
540,0,179,250,74,10000,0.2
541,0,179,236,75,10000,0.24
542,0,179,252,76,10000,0.32
543,0,179,258,77,10000,0.29
544,0,179,235,78,10000,0.24
545,0,179,229,79,10000,0.24
546,0,179,244,80,10000,0.27
547,0,179,242,81,10000,0.25
548,0,179,271,82,10000,0.29
549,0,179,236,83,10000,0.26
550,0,179,239,84,10000,0.27
551,0,179,243,85,10000,0.3
552,0,179,274,86,10000,0.3
553,0,179,332,87,10000,0.25
554,0,179,522,88,10000,0.0
555,0,179,254,89,10000,0.26
556,0,179,414,90,10000,0.21
557,0,180,443,1,500,0.04
558,0,180,362,2,500,0.01
559,0,180,312,3,500,0.54
560,0,180,295,4,500,0.2
561,0,180,246,5,500,0.3
562,0,180,261,6,500,0.27
